epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1356,1.96981,4.03485,1.85946,0.1909,0.2473,0.137,0.05857,2.21773,3.42753,2.13719,0.000413136,0.000413136,0.000413136
2,94.698,1.90602,3.3217,1.83698,0.22182,0.29499,0.215,0.0923,1.97543,4.25605,1.98943,0.000818066,0.000818066,0.000818066
3,137.56,1.86727,2.98295,1.81144,0.3744,0.19044,0.16237,0.06601,2.15848,4.95355,2.06782,0.00121121,0.00121121,0.00121121
4,180.628,1.85707,2.66764,1.78877,0.32862,0.39942,0.3316,0.14815,1.87853,2.83215,1.86808,0.00119696,0.00119696,0.00119696
5,227.234,1.77697,2.44497,1.74046,0.35337,0.40335,0.34979,0.1702,1.82085,2.64791,1.80319,0.00117929,0.00117929,0.00117929
6,268.969,1.7389,2.28492,1.67887,0.37158,0.49542,0.4341,0.22441,1.70912,2.03907,1.74148,0.00116161,0.00116161,0.00116161
7,311.373,1.66962,2.17683,1.65313,0.58107,0.51764,0.54618,0.28576,1.61585,1.85911,1.60125,0.00114393,0.00114393,0.00114393
8,353.731,1.63464,2.07598,1.60371,0.60514,0.55697,0.59577,0.31064,1.61948,1.87731,1.61208,0.00112625,0.00112625,0.00112625
9,396.816,1.59698,1.9775,1.58556,0.59239,0.54399,0.56493,0.30473,1.67069,1.75759,1.62808,0.00110857,0.00110857,0.00110857
10,441.304,1.59395,1.94262,1.59257,0.58829,0.4382,0.48044,0.24123,1.67245,2.08372,1.62869,0.00109089,0.00109089,0.00109089
11,484.5,1.52356,1.86141,1.54818,0.5132,0.46668,0.49974,0.25762,1.74333,1.93407,1.71945,0.00107321,0.00107321,0.00107321
12,525.978,1.52362,1.80426,1.54051,0.71867,0.54958,0.59953,0.32892,1.55597,1.82275,1.59615,0.00105554,0.00105554,0.00105554
13,567.599,1.53473,1.77589,1.54077,0.62676,0.57211,0.60033,0.31942,1.5928,1.69895,1.5824,0.00103786,0.00103786,0.00103786
14,609.478,1.48218,1.68061,1.48648,0.57743,0.6244,0.61468,0.34302,1.58396,1.59629,1.55881,0.00102018,0.00102018,0.00102018
15,649.536,1.47851,1.68943,1.48652,0.6517,0.57505,0.6441,0.36157,1.49469,1.65172,1.56265,0.0010025,0.0010025,0.0010025
16,696.442,1.42384,1.58879,1.47191,0.70465,0.63965,0.70639,0.38251,1.56555,1.48105,1.58252,0.000984821,0.000984821,0.000984821
17,739.098,1.41378,1.56226,1.4468,0.7279,0.62961,0.7368,0.40009,1.55097,1.41036,1.5486,0.000967143,0.000967143,0.000967143
18,781.52,1.41843,1.50522,1.43378,0.69405,0.61216,0.68559,0.36656,1.52558,1.45256,1.54713,0.000949464,0.000949464,0.000949464
